cluster,AHA
0,"[46, 46, 50, 57, 57, 78, 54, 41, 40, 63, 41, 67, 53, 40, 55, 69, 63]"
1,"[46, 53, 47, 47, 54, 41, 58, 58, 49, 49, 65, 65, 40, 63, 49, 49, 41, 52, 52, 16, 16, 49, 39, 39, 53, 64, 64, 59, 42, 68, 54, 84, 75, 75]"
2,[78]
3,[54]
