cluster,AHA
0,"[100, 100, 100, 100]"
1,"[46, 50, 57, 57, 53, 78, 65, 63, 41, 49, 53, 64, 54, 40, 55, 75, 75, 69, 63, 100, 100, 100, 100]"
2,"[46, 46, 47, 47, 54, 54, 41, 41, 58, 58, 49, 49, 40, 40, 63, 49, 49, 41, 67, 52, 52, 16, 16, 39, 39, 53, 64, 59, 42, 68, 54, 84, 100, 100, 100]"
3,"[65, 78, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]"
