cluster,AHA
0,"[46, 50, 57, 46, 53, 47, 78, 54, 41, 58, 49, 65, 40, 63, 49, 41, 67, 52, 16, 49, 39, 53, 64, 59, 42, 68, 54, 40, 84, 78, 55, 75, 69, 63, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]"
1,[100]
2,"[100, 100, 100]"
3,[100]
