cluster,AHA
0,"[78, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]"
1,"[46, 46, 46, 50, 57, 57, 53, 53, 53, 47, 54, 54, 41, 49, 49, 65, 65, 65, 63, 49, 41, 52, 52, 53, 64, 42, 42, 68, 54, 78, 75, 75, 75, 63]"
2,"[57, 57, 46, 78, 54, 41, 65, 65, 40, 63, 41, 67, 52, 49, 49, 39, 53, 53, 53, 64, 64, 42, 54, 40, 40, 40, 84, 55, 55, 69, 63, 100, 100, 100, 100]"
3,"[46, 50, 50, 46, 46, 47, 47, 47, 78, 78, 54, 54, 41, 41, 58, 58, 58, 58, 58, 49, 49, 40, 40, 40, 40, 63, 63, 49, 49, 49, 41, 41, 67, 67, 52, 16, 16, 16, 16, 16, 49, 39, 39, 39, 39, 53, 64, 64, 59, 59, 68, 68, 54, 54, 84, 78, 55, 75, 69, 69, 63, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]"
