cluster,AHA,MACS
0,"[46, 57, 78, 65, 63, 52, 39, 64, 68, 68, 54, 84, 78, 75, 63]","[2, 2, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1]"
1,"[46, 46, 50, 50, 57, 47, 47, 54, 54, 54, 54, 41, 58, 49, 65, 65, 65, 40, 63, 49, 49, 67, 52, 16, 49, 49, 39, 53, 53, 54, 40, 78, 75, 75, 75, 69, 69, 63]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 1, 1, 1, 3, 1, 2, 2, 1, 2, 3, 2, 2, 3, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1]"
2,"[46, 57, 46, 53, 78, 41, 58, 58, 49, 65, 40, 40, 40, 63, 49, 41, 67, 52, 52, 16, 16, 16, 16, 49, 39, 39, 53, 53, 53, 42, 42, 54, 84, 78, 55, 55, 69, 63]","[2, 2, 2, 3, 1, 3, 2, 2, 2, 1, 3, 3, 3, 1, 2, 3, 1, 2, 2, 3, 3, 3, 3, 2, 3, 3, 2, 2, 2, 3, 3, 1, 1, 1, 2, 2, 1, 1]"
3,"[50, 57, 46, 46, 53, 53, 47, 47, 78, 54, 41, 41, 58, 58, 49, 49, 40, 63, 49, 41, 41, 41, 67, 39, 64, 64, 64, 64, 59, 59, 42, 68, 54, 40, 40, 55]","[2, 2, 2, 2, 3, 3, 2, 2, 1, 2, 3, 3, 2, 2, 2, 2, 3, 1, 2, 3, 3, 3, 1, 3, 1, 1, 1, 1, 2, 2, 3, 1, 1, 2, 2, 2]"
