cluster,AHA
0,"[53, 78]"
1,"[46, 46, 50, 57, 57, 46, 53, 47, 47, 78, 54, 54, 41, 41, 58, 58, 49, 49, 65, 65, 40, 40, 63, 63, 49, 49, 41, 41, 67, 52, 52, 16, 16, 49, 39, 39, 53, 64, 64, 59, 42, 68, 54, 54, 40, 84, 55, 75, 75, 69, 63, 100, 100]"
2,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]"
