cluster,AHA,MACS
0,"[46, 46, 47, 78, 54, 41, 58, 65, 40, 41, 67, 16, 49, 39, 64, 59, 68, 54, 84, 55]","[2, 2, 2, 1, 2, 3, 2, 1, 3, 3, 1, 3, 2, 3, 1, 2, 1, 1, 1, 2]"
1,"[49, 75]","[2, 1]"
2,[78],[1]
3,"[50, 57, 53, 63, 49, 52, 53, 42, 40, 69, 63]","[2, 2, 3, 1, 2, 2, 2, 3, 2, 1, 1]"
