cluster,AHA
0,"[46, 55]"
1,"[46, 50, 46, 46, 78, 54, 54, 41, 58, 58, 58, 58, 49, 65, 65, 40, 40, 40, 63, 49, 49, 41, 67, 67, 52, 16, 16, 49, 49, 49, 39, 39, 59, 59, 40, 84, 55, 69, 63, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]"
2,"[46, 47, 47, 47, 78, 41, 58, 65, 63, 49, 41, 41, 52, 16, 16, 16, 39, 39, 53, 64, 64, 42, 68, 68, 54, 54, 78, 78, 75, 100, 100, 100, 100, 100, 100, 100]"
3,[65]
4,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]"
5,"[46, 46, 50, 54, 54, 40, 63, 53, 53, 64, 54, 54, 40, 78, 75, 69, 63, 100, 100]"
6,[100]
7,"[50, 57, 57, 57, 57, 53, 53, 53, 47, 78, 54, 41, 41, 49, 49, 49, 65, 40, 63, 49, 41, 67, 52, 52, 39, 53, 53, 64, 64, 42, 42, 68, 40, 84, 55, 75, 75, 69, 63, 100, 100, 100]"
