cluster,AHA,MACS
0,"[78.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 0.0, 0.0, 0.0, 0.0]"
1,"[59.0, 68.0, 100.0, 100.0, 100.0]","[2.0, 1.0, 0.0, 0.0, 0.0]"
2,"[46.0, 47.0, 54.0, 16.0, 49.0, 69.0, 100.0, 100.0]","[2.0, 2.0, 2.0, 3.0, 2.0, 1.0, 0.0, 0.0]"
3,"[53.0, 41.0, 40.0, 41.0, 39.0, 84.0, 63.0, 100.0, 100.0]","[3.0, 3.0, 3.0, 3.0, 3.0, 1.0, 1.0, 0.0, 0.0]"
4,"[57.0, 58.0, 65.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5,"[46.0, 50.0, 67.0, 53.0, 42.0, 54.0, 40.0, 100.0, 100.0]","[2.0, 2.0, 1.0, 2.0, 3.0, 1.0, 2.0, 0.0, 0.0]"
6,"[49.0, 63.0, 49.0, 52.0, 64.0, 75.0, 100.0, 100.0, 100.0]","[2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0]"
7,"[78.0, 55.0, 100.0, 100.0, 100.0, 100.0, 100.0]","[1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
