cluster,AHA,MACS
0,"[57, 46, 53, 47, 54, 54, 41, 41, 58, 58, 49, 49, 40, 40, 49, 49, 52, 52, 16, 16, 49, 39, 39, 53, 53, 64, 64, 59, 75]","[2, 2, 3, 2, 2, 2, 3, 3, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 3, 3, 2, 3, 3, 2, 2, 1, 1, 2, 1]"
1,"[100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"[78, 65, 65, 63, 41, 67, 54, 84, 78, 75, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100]","[1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,"[46, 46, 50, 57, 47, 41, 42, 68, 54, 40, 55, 69, 63]","[2, 2, 2, 2, 2, 3, 3, 1, 1, 2, 2, 1, 1]"
4,[100],[0]
5,[63],[1]
